Region,Mall
Central,313@somerset
Central,Alexandra Retail Centre
Central,Bugis Junction
Central,Bugis+
Central,Capitol Piazza
Central,Cathay Cineleisure Orchard
Central,The Centrepoint
Central,City Square Mall
Central,CityLink Mall
Central,Chinatown Point
Central,Clarke Quay Central
Central,Duo
Central,Far East Plaza
Central,Funan
Central,Great World
Central,HDB Hub
Central,Holland Village Shopping Mall
Central,ION Orchard
Central,Jelita Mall
Central,Junction 8
Central,Liat Towers
Central,Lucky Plaza
Central,Marina Bay Sands
Central,Marina Bay Link Mall
Central,Marina Square
Central,Millenia Walk
Central,Mustafa Centre
Central,Ngee Ann City[1]
Central,Orchard Central
Central,Orchard Gateway
Central,Palais Renaissance
Central,The Paragon
Central,People's Park Centre
Central,People's Park Complex
Central,Plaza Singapura
Central,Raffles City
Central,Shaw House and Centre
Central,Sim Lim Square
Central,The South Beach
Central,Square 2
Central,Suntec City
Central,Tanjong Pagar Centre
Central,Tekka Centre
Central,Tiong Bahru Plaza
Central,Thomson Plaza
Central,Novena Square Shopping Mall
Central,VivoCity
Central,Wheelock Place
Central,Wisma Atria
East,Bedok Mall
East,Century Square
East,Changi City Point
East,Downtown East
East,Eastpoint Mall
East,Jewel Changi Airport
East,Katong Shopping Centre
East,Kallang Wave Mall
East,Leisure Park Kallang
East,i12 Katong
East,Our Tampines Hub
East,Parkway Parade
East,Paya Lebar Quarter
East,Paya Lebar Square
East,SingPostCentre
East,Tampines 1
East,Tampines Mall
East,White Sands
East,Pasir Ris Mall
North,AMK Hub
North,Canberra Plaza
North,Causeway Point
North,Northpoint City
North,Sembawang Shopping Centre
North,Sun Plaza
North-East,Compass One
North-East,Heartland Mall
North-East,Hougang Mall
North-East,NEX
North-East,Oasis Terraces
North-East,Punggol Plaza
North-East,Punggol Coast Mall
North-East,The Seletar Mall
North-East,Waterway Point
North-East,Northshore Plaza I
North-East,Northshore Plaza II
North-East,Anchorvale Village
North-East,Sengkang Grand Mall
North-East,Hougang Village
West,Bukit Panjang Plaza
West,Dairy Farm Mall
West,Fajar Shopping Centre
West,Gek Poh Shopping Centre
West,Greenridge Shopping Centre
West,Hillion Mall
West,IMM
West,Jem
West,Junction 10
West,Jurong Point
West,HillV2
West,Le Quest
West,Limbang Shopping Centre
West,Lot 1[2]
West,Pioneer Mall
West,Plantation Plaza
West,Parc Point
West,Queensway Shopping Centre
West,The Clementi Mall
West,The Rail Mall
West,Teck Whye Shopping Centre
West,The Star Vista
West,West Coast Plaza
West,Westgate
West,West Mall
West,Yew Tee Point
